Name,Rarity,Type,Properties,Act Area,Location,Description
Aberration Hunters' Amulet,Uncommon,Amulet,,Crèche Y'llek,Dropped as loot by Ghustil Stornugoss. 🎁,"Advantage on Intelligence Saving Throws if you are Githyanki. 
Advantage on Attack Rolls against aberrations and aberrations have Disadvantage on Attack Rolls against you."
Absolute's Talisman,Uncommon,Amulet,,Shattered Sanctum,Dropped as loot by Priestess Gut. 🎁,"Advantage on Death Saving Throws if you bear the Absolute's Brand
Cast Aid once per Long Rest. This casting of Aid only affects the caster."
Absolute's Warboard,Uncommon,Shield,🛡️ + 2 AC,Shattered Sanctum,Dropped as loot by Priestess Gut. 🎁,"Gain a +1 bonus to Saving Throws if you bear the Absolute's Brand.
Cast Heroism once per Long Rest."
Abyss Beckoners,Very Rare,Gloves,,Zhentarim Hideout,Inside a locked chest in a cell.,"Your summoned creatures have resistance to all damage except Psychic.
At the start of your summoned creature's turn, it must succeed a Wisdom Saving Throw or be driven Mad."
Adamantine Longsword,Rare,Longsword,"1h 🔪(1d8)
2h 🔪(1d10)",The Adamantine Forge,Forged in The Adamantine Forge with a Longsword Mould and Mithral Ore.,"This weapon ignores Resistance to Slashing damage.
If you hit an object with this weapon, the hit is always Critical."
Adamantine Mace,Rare,Mace,1h 🔨(1d6),The Adamantine Forge,Forged in The Adamantine Forge with a Mace Mould and Mithral Ore.,"This weapon ignores Resistance to Bludgeoning damage. 
If you hit an object with this weapon, the hit is always Critical."
Adamantine Scale Mail,Very Rare,Medium Armour,🛡️ 16 AC,The Adamantine Forge,Forged in The Adamantine Forge with a Scale Mail Mould and Mithral Ore.,"Reduce all incoming damage by 1.
When a creature hits you with a melee attack, you send it Reeling for 2 turns.
Attackers can't land Critical Hits on you."
Adamantine Scimitar,Rare,Scimitar,1h 🔪(1d6),The Adamantine Forge,Forged in The Adamantine Forge with a Scimitar Mould and Mithral Ore.,"This weapon ignores Resistance to Slashing damage.
If you hit an object with this weapon, the hit is always Critical."
Adamantine Shield,Rare,Shield,🛡️ + 2 AC,The Adamantine Forge,Forged in The Adamantine Forge with a Shield Mould and Mithral Ore.,"When a creature misses a melee attack against you, you send it Reeling for 2 turns.
When you are hit with a melee attack, you can use your reaction to knock them Prone unless they succeed a Dexterity Saving Throw.
Attackers can't land Critical Hits on you."
Adamantine Splint Armour,Very Rare,Heavy Armour,🛡️ 18 AC,The Adamantine Forge,Forged in The Adamantine Forge with a Splint Mould and Mithral Ore.,"Reduce all incoming damage by 2.
When a creature hits you with a melee attack, you send it Reeling for 3 turns.
Attackers can't land Critical Hits on you."
Amulet of Branding,Rare,Amulet,,Crèche Y'llek,Dropped as loot by A'jak'nir. 🎁,Cast Brand the Weak once per Long Rest.
Amulet of Misty Step,Uncommon,Amulet,,Shattered Sanctum,In a gilded chest behind the ogre Polma.,Cast Misty Step once per Short Rest.
Amulet of Restoration,Rare,Amulet,,Myconid Colony,Sold by Derryth Bonecloak. 💰,"Cast Healing Word once per Long Rest.
Cast Mass Healing Word once per Long Rest."
Amulet of Selûne's Chosen,Uncommon,Amulet,,Shattered Sanctum,Found in Dror Ragzlin's treasure pile.,Cast Selûne's Dream once per Long Rest.
Amulet of Silvanus,Uncommon,Amulet,,Druid Grove,"Hidden under a rock that must be moved, near Ormn the bear.",Cast Lesser Restoration once per Long Rest.
Amulet of the Unworthy,Uncommon,Amulet,,Underdark,Dropped as loot by a Minotaur. 🎁,"Resistance to Slashing damage.
Vulnerability to Bludgeoning damage."
Armour of Uninhibited Kushigo,Uncommon,Clothing,🛡️ 10 AC,Grymforge,Optional Quest Reward by Sergeant Thrinn.,"While Patient Defence is active, you can use your Reaction to make an unarmed strike against any attacker that misses."
Assassin's Touch,Uncommon,Dagger,1h 🏹(1d4 + 1),Druid Grove,Quest Reward by Sazza.,Deals an additional 💀(1d4) to creatures that are Knocked Out or Sleeping.
Beastmaster's Chain,Uncommon,Amulet,,Shattered Sanctum,Found in a chest in the Worg Pens.,Cast Animal Friendship once per Long Rest.
Blazer of Benevolence,Uncommon,Light Armour,🛡️ 11 AC,Goblin Camp,Quest Reward by Volo.,Gain ❤️(4) Temporary Hit Points when you inspire an ally using Bardic Inspiration.
Blooded Greataxe,Rare,Greataxe,2h 🔪(1d12),Shattered Sanctum,"Sold by main Merchants, item in Merchant Item Pool. 💰",Deal an additional 🔪(1d4) while you're at 50% Hit Points or less.
Bloodguzzler Garb,Uncommon,Clothing,🛡️ 10 AC,Underdark,Dropped as loot by Bulette. 🎁,Gain Wrath for 1 turn whenever you are hit.
Boots of Aid and Comfort,Uncommon,Boots,,Goblin Camp,Sold by Grat the Trader. 💰,"When you heal a creature, they gain an additional ❤️(3) Temporary Hit Points."
Boots of Elemental Momentum,Uncommon,Medium Boots,,Rosymorn Monastery Trail,Sold by Lady Esther. 💰,"When you deal Acid, Cold, Fire, Lightning or Thunder damage with Spells or Cantrips, gain Momentum for 2 turns.
Athletics +1"
Boots of Genial Striding,Rare,Boots,,Myconid Colony,Sold by Blurg. 💰,Your Movement Speed is unimpeded by Difficult Terrain.
Boots of Speed,Rare,Boots,,Myconid Colony,"Cure the duergar poison affecting Thulla, she will give you the boots as a reward.",Cast Click Heels
Boots of Stormy Clamour,Uncommon,Boots,,Myconid Colony,Sold by Omeluum. 💰,"When you inflict a condition on a creature, you also inflict Reverberation for 2 turns."
Boots of Striding,Uncommon,Medium Boots,,Shattered Sanctum,Dropped as loot by Minthara. 🎁,"When you cast a spell that requires Concentration, you gain Momentum for 2 turns. 
While you are concentrating, you cannot be pushed or get knocked Prone.
Athletics +1"
Bow of Awareness,Uncommon,Shortbow,2h 🏹(1d6 + 1),Shattered Sanctum,Sold by Roah Moonglow. 💰,Gain a +1 bonus to Initiative Rolls.
Bow of the Banshee,Rare,Shortbow,2h 🏹(1d6 + 1),Grymforge,Dropped as loot or Sold by Corsair Greymon. 💰 🎁,"Gain 🎲(1d4) bonus to attack and damage rolls against Frightened creatures.
When you a hit with this weapon, possibly inflict Frightened."
Bracers of Defence,Rare,Gloves,,Blighted Village,Found in a gilded chest in the Apothecary's Cellar beneath the Blighted Village.,Gain a 🛡️ + 2 AC when not wearing armour or holding a shield.
Bracing Band,Uncommon,Ring,,Grymforge,Optional Quest Reward by Sergeant Thrinn.,Gain 🛡️ + 1 AC until your next turn after shoving an enemy.
Broodmother's Revenge,Uncommon,Amulet,,Druid Grove,Dropped as loot by Kagha. 🎁,"When you are healed, your weapon deals an additional 🐍(1d4) for 3 turns."
Cacophony,Rare,Quarterstaff,"1h 🔨(1d6 + 1) + ⛈️(1d4)
2h 🔨(1d8 + 1) + ⛈️(1d4)",Rosymorn Monastery Trail,Sold by Lady Esther. 💰,Cast Thunderous Smite once per Short Rest
Cap of Curing,Uncommon,Helmet,,Druid Grove,Found in a gilded chest behind a pillar near to where Alfira is composing her song.,"When you inspire an ally using Bardic Inspiration, they regain ❤️(1d6) Hit Points."
Cap of Wrath,Rare,Helmet,,Grymforge,Dropped as loot by Thudd. 🎁,"If you start your turn with 50% Hit Points or less, gain Wrath for 2 turn."
Caustic Band,Uncommon,Ring,,Myconid Colony,Sold by Derryth Bonecloak. 💰,Deal an additional ⚗️(2) with weapon attacks.
Ceremonial Longsword,Uncommon,Longsword,"1h 🔪(1d8 + 1)
2h 🔪(1d10 + 1)",Rosymorn Monastery,Found on the north-western pedestal in the Dawnmasters Memorial.,SPOILER IN NOTE
