Name,Rarity,Type,Properties,Location,Description
Absolute's Protector,Rare,Shield,🛡️ + 2 AC,Moonrise Towers,"Reduce all incoming spell damage by 1 if you bear the Absolute's Brand.
Cast Fire Shield: Chill once per Long Rest."
Acrobat Shoes,Rare,Boots,,Last Light Inn,"Advantage on Dexterity Saving Throws Checks.
Acrobatics +1"
Amulet of the Harpers,Rare,Amulet,,Last Light Inn,"Advantage with Wisdom Saving Throws Checks.
Cast Shield once per Short Rest."
Armour of Devotion,Rare,Heavy Armour,🛡️ 18 AC,Moonrise Tower,Regain 1 Paladin Channel Oath Charge once per Long Rest.
Assassin's Shortsword,Uncommon,Shortsword,1h 🏹(1d6 + 1),House of Healing,Advantage on Stealth Checks.
Argument Solver,Uncommon,Greatclub,1h 🔨(1d8 + 1),Moonrise Towers,Gain Poison Mist weapon action.
Barkskin Armour,Rare,Medium Armour,🛡️ 16 AC,Last Light Inn,"Increase 🛡️ AC to 16.
Advantage on Constitution Saving Throws Check."
Bided Time,Uncommon,Clothing,🛡️ 10 AC,House of Healing,Gain Arcane Charge whenever you are hit by a melee attack.
Bigboy's Chew Toy,Rare,Quarterstaff,"1h 🔨(1d6)
2h 🔨(1d8)",Moonrise Towers,"Cast Enlarge on yourself once per Long Rest.
"
Blade of Oppressed Souls,Rare,Longsword,"1h 🔪(1d8) + 👁️(1d4)
2h 🔪(1d10) + 👁️(1d4)",Mind Flayer Colony,Gain Crowning Strike weapon action.
Blood-Bound Blade,Rare,Longsword,"1h 🔪(1d8)
2h 🔪(1d10)",Last Light Inn,"This weapon only functions if it's Bound to an Eldritch Knight or is a Warlock's Pact Weapon.
Gain a +1 bonus to damage and Attack Roll with this weapon.
Deal additional damage equal to your Proficiency Bonus with this weapon."
Boots of Apparent Death,Rare,Boots,,Shadow-Cursed Lands,Cast Feign Death once per Short Rest.
Boots of Arcane Bolstering,Rare,Boots,,Moonrise Towers,"When you Dash or take a similar action, gain Arcane Charge for 2 turns."
Boots of Brilliance,Rare,Boots,,Gauntlet of Shar,Restore 1 Bardic Inspiration charges once per Long Rest.
Braindrain Gloves,Uncommon,Gloves,,Mind Flayer Colony,"When you deal Psychic damage, inflict Mental Fatigue for 2 turns."
Browbeaten Circlet,Uncommon,Helmet,,Moonrise Towers,Gain a +1 bonus to Spell Save DC while Threatened.
Callous Glow Ring,Uncommon,Ring,,Gauntlet of Shar,Deal an additional ☀️(2) against creatures that are illuminated.
Charge-Bound Warhammer,Rare,Warhammer,"1h 🔨(1d8 + 1)
2h 🔨(1d10 + 1)",Last Light Inn,"This weapon only functions if it's Bound to an Eldritch Knight or is a Warlock's Pact Weapon.
Gain a +1 bonus to damage and Attack Roll with this weapon.
Deal an additional ⚡(1d6) with this weapon."
Cindersnap Gloves,Rare,Gloves,,Last Light Inn,Cast Protection from Missiles once per Short Rest.
Circle of Bones,Rare,Helmet,,Gauntlet of Shar,"Allied undead within 6m / 20ft are Resistant to Bludgeoning, Slashing, and Piercing damage.
Cast Animate Dead once per Long Rest."
Circlet of Hunting,Very Rare,Helmet,,Moonrise Tower,"Gain a 🎲(1d4) bonus to Attack Rolls against creatures marked by Hunter's Mark, True Strike, Faerie Fire, Guiding Bolt."
Circlet of Mental Anguish,Rare,Helmet,,Mind Flayer Colony,"Regain ❤️(1d4) Hit Points when an enemy fails a Charisma, Intelligence, or Wisdom Saving Throw against one of your spells or cantrips "
Cloak of Cunning Brume,Uncommon,Cloak,,Last Light Inn,"When you Disengage, create a foggy cloud with 2m/ 7ft radius that last for 1 turn."
Cloak of Elemental Absorption,Uncommon,Cloak,,Moonrise Towers,"When you are hit with an elemental attack, take half damage and deal an additional 🎲(1d6) of that element type on your next attack."
Cloak of Protection,Uncommon,Cloak,🛡️ + 1 AC,Last Light Inn,Saving Throw +1
Coldbrim Hat,Uncommon,Helmet,,Moonrise Towers,"When you inflict a target with any condition, also inflict Encrusted with Frost for 2 turns. Once per turn."
Coruscation Ring,Uncommon,Ring,,Last Light Inn,"When you deal spell damage to a creature while illuminated by a light source, inflict Radiating Orb for 1 turn."
Covert Cowl,Uncommon,Light Helmet,,Last Light Inn,"While Obscured by shadow, the number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack.
Dexterity Saving Throws +1"
Cruel Sting,Rare,Longsword,"1h 🔪(1d8 + 1) + 👁️(1d6)
2h 🔪(1d10 + 1) + 👁️(1d6)",Shadow-Cursed Lands,"Sting The Helpless: A drow elf wielding this weapon deals an additional 1d4 Poison damage against Restrained targets.
Cast Ensnaring Strands."
Dark Justiciar Boots,Rare,Medium Boots,,Gauntlet of Shar,"Cast Shadow Teleportation once per Short Rest.
Dexterity Saving Throws + 1"
Dark Justiciar Gauntlets (Rare),Rare,Gloves,,Gauntlet of Shar,"Deal an additional 💀(1d4) with weapon attacks.
Strength Saving Throws +1
Cast Beckoning Darkness"
Dark Justiciar Half-Plate (Very Rare),Very Rare,Medium Armour,🛡️ 17 AC,Gauntlet of Shar,"Advantage on Stealth checks while Obscured by shadows.
Advantage on Constitution Saving Throws.
While Shield of Faith is active, reduct all incoming damage by 2 and deal 💀(1d4) to the attacker.
Cast Shar's Aegis once per Long Rest."
Dark Justiciar Helmet,Very Rare,Medium Helmet,,Gauntlet of Shar,"Gain a +1 bonus to Saving Throws against Spells.
The number you need to roll a Critical Hit while attacking is reduced by 1 while Obscured by shadow. This effect can stack.
Constitution Saving Throws +1"
Darkfire Shortbow,Rare,Shortbow,2h 🏹(1d6 + 2),Last Light Inn,"Resistance to Fire damage.
Resistance to Cold damage.
Cast Haste once per Long Rest."
Defender Greataxe,Rare,Greataxe,2h 🔪(1d12 + 2),Last Light Inn,"When you make your first attack of the round, you can reduce this weapon's Enchantment by 1 to increase your Saving Throw bonus by 1 and 🛡️ + 1 AC."
Derivation Cloak,Rare,Cloak,,Moonrise Tower,Gain ❤️(1d4) Hit Points when you poison an enemy.
Drakethroat Glaive,Rare,Glaive,2h 🔪(1d10 + 2),Moonrise Towers,"Enemies have Disadvantage on Saving Throws against your Dragonborn breath weapon.
Cast Draconic Elemental Weapon once per Long Rest."
Dwarven Splintmail,Rare,Heavy Armour,🛡️ 19 AC,Moonrise Tower,"Gain a +1 bonus to Strength Saving Throws and Checks.
You take 1 less Piercing damage.
Constitution +2 (Max 20)"
Enraging Heart Garb,Rare,Clothing,🛡️ 10 AC,Moonrise Tower,"When Raging, gain 2 turns of Wrath.
Constitution +2 (up to 20)"
